n,depth,alpha,seeds,peak_weight,peak_weight_std,chance_peak_weight,R,R_planted,peak_is_planted,min_abs_Z,median_abs_Z,frac_abs_Z_below_0.25,mid_entropy_bits,max_entropy_bits,mid_effective_rank,full_rank
12,18,0,5,1,3.34986e-15,0.00217163,1,1,1,1,1,0,4.97259,6,23.8252,64
12,18,0.02,5,0.898732,0.0033482,0.00217163,1,1,1,0.913086,0.923406,0,4.97259,6,23.8252,64
12,18,0.05,5,0.51453,0.011358,0.00217163,1,1,1,0.567108,0.609444,0,4.97259,6,23.8252,64
12,18,0.075,5,0.225229,0.011221,0.00217163,1,1,1,0.275902,0.334293,0,4.97259,6,23.8252,64
12,18,0.1,5,0.0709931,0.0063717,0.00217163,1,1,1,0.0917777,0.14958,0.933333,4.97259,6,23.8252,64
12,18,0.125,5,0.0161073,0.00207856,0.00217163,0.983333,0.983333,1,0.0140947,0.0557337,1,4.97259,6,23.8252,64
12,18,0.15,5,0.00286492,0.000239745,0.00217163,0.816667,0.85,0.8,0.00088948,0.0191373,1,4.97259,6,23.8252,64
12,18,0.2,5,0.00217211,0.000218761,0.00217163,0.6,0.433333,0,0.00126638,0.0105281,1,4.97259,6,23.8252,64
12,18,0.3,5,0.00226116,0.000334947,0.00217163,0.433333,0.483333,0,0.00104571,0.00942791,1,4.97259,6,23.8252,64
12,18,0.5,5,0.00207926,0.000177236,0.00217163,0.583333,0.5,0,0.00102298,0.0119041,1,4.97259,6,23.8252,64
12,18,1,5,0.00212109,0.000413492,0.00217163,0.583333,0.55,0,0.00124755,0.00900355,1,4.97259,6,23.8252,64
16,24,0,5,1,2.26224e-15,0.000178033,1,1,1,1,1,0,6.95071,8,91.1005,256
16,24,0.02,5,0.817757,0.00825378,0.000178033,1,1,1,0.847754,0.86764,0,6.95071,8,91.1005,256
16,24,0.05,5,0.284282,0.0170645,0.000178033,1,1,1,0.355384,0.413103,0,6.95071,8,91.1005,256
16,24,0.075,5,0.0592168,0.0075335,0.000178033,1,1,1,0.0966284,0.137905,0.975,6.95071,8,91.1005,256
16,24,0.1,5,0.00676048,0.00136676,0.000178033,1,1,1,0.012425,0.0310574,1,6.95071,8,91.1005,256
16,24,0.125,5,0.00047611,0.000137944,0.000178033,0.85,0.85,1,0.00102555,0.00642371,1,6.95071,8,91.1005,256
16,24,0.15,5,0.00019568,2.27578e-05,0.000178033,0.5375,0.575,0,0.000390308,0.00365931,1,6.95071,8,91.1005,256
16,24,0.2,5,0.000174898,1.12627e-05,0.000178033,0.4375,0.5125,0,0.000238685,0.00289625,1,6.95071,8,91.1005,256
16,24,0.3,5,0.000168959,9.7731e-06,0.000178033,0.6,0.475,0,0.000167422,0.0027289,1,6.95071,8,91.1005,256
16,24,0.5,5,0.000175318,2.01828e-05,0.000178033,0.4625,0.5375,0,0.00034927,0.00276647,1,6.95071,8,91.1005,256
16,24,1,5,0.000175754,9.67015e-06,0.000178033,0.55,0.425,0,0.000396663,0.0026906,1,6.95071,8,91.1005,256
20,30,0,5,1,1.86636e-15,1.37712e-05,1,1,1,1,1,0,8.90514,10,345.293,1024
20,30,0.02,5,0.719561,0.00682201,1.37712e-05,1,1,1,0.771398,0.794704,0,8.90514,10,345.293,1024
20,30,0.05,5,0.128047,0.00890299,1.37712e-05,1,1,1,0.199047,0.242678,0.59,8.90514,10,345.293,1024
20,30,0.075,5,0.00984334,0.00186719,1.37712e-05,1,1,1,0.0270432,0.0444711,1,8.90514,10,345.293,1024
20,30,0.1,5,0.000268059,0.00011249,1.37712e-05,0.99,0.99,1,0.000762628,0.00473789,1,8.90514,10,345.293,1024
20,30,0.125,5,1.36249e-05,5.77736e-07,1.37712e-05,0.51,0.67,0,7.44651e-05,0.00109429,1,8.90514,10,345.293,1024
20,30,0.15,5,1.33318e-05,9.13673e-07,1.37712e-05,0.5,0.49,0,6.42177e-05,0.00102088,1,8.90514,10,345.293,1024
20,30,0.2,5,1.416e-05,1.11858e-06,1.37712e-05,0.45,0.44,0,2.03101e-05,0.000609452,1,8.90514,10,345.293,1024
20,30,0.3,5,1.37325e-05,1.95245e-07,1.37712e-05,0.52,0.5,0,5.8125e-05,0.000691596,1,8.90514,10,345.293,1024
20,30,0.5,5,1.36819e-05,1.72481e-06,1.37712e-05,0.57,0.55,0,5.43534e-05,0.000780071,1,8.90514,10,345.293,1024
20,30,1,5,1.37269e-05,9.44041e-07,1.37712e-05,0.38,0.55,0,7.15208e-05,0.000778035,1,8.90514,10,345.293,1024
