n,depth,alpha,seed,peak_weight,R,R_planted,peak_is_planted,min_abs_Z,median_abs_Z,frac_abs_Z_below_0.25,mid_entropy_bits,mid_effective_rank
12,18,0,0,1,1,1,1,1,1,0,4.83958,21.0197
12,18,0,1,1,1,1,1,1,1,0,5.01024,24.4047
12,18,0,2,1,1,1,1,1,1,0,5.1169,27.2751
12,18,0,3,1,1,1,1,1,1,0,5.04084,25.1943
12,18,0,4,1,1,1,1,1,1,0,4.85539,21.2319
12,18,0.02,0,0.894214,1,1,1,0.915568,0.921658,0,4.83958,21.0197
12,18,0.02,1,0.897743,1,1,1,0.906608,0.921098,0,5.01024,24.4047
12,18,0.02,2,0.904231,1,1,1,0.92069,0.927699,0,5.1169,27.2751
12,18,0.02,3,0.897248,1,1,1,0.910686,0.923013,0,5.04084,25.1943
12,18,0.02,4,0.900223,1,1,1,0.911876,0.923563,0,4.85539,21.2319
12,18,0.05,0,0.49985,1,1,1,0.578779,0.60011,0,4.83958,21.0197
12,18,0.05,1,0.50777,1,1,1,0.546729,0.601524,0,5.01024,24.4047
12,18,0.05,2,0.532179,1,1,1,0.588545,0.627334,0,5.1169,27.2751
12,18,0.05,3,0.510717,1,1,1,0.553375,0.60848,0,5.04084,25.1943
12,18,0.05,4,0.522133,1,1,1,0.568111,0.609773,0,4.85539,21.2319
12,18,0.075,0,0.210807,1,1,1,0.285106,0.323307,0,4.83958,21.0197
12,18,0.075,1,0.217093,1,1,1,0.266938,0.325745,0,5.01024,24.4047
12,18,0.075,2,0.241176,1,1,1,0.289416,0.352437,0,5.1169,27.2751
12,18,0.075,3,0.222243,1,1,1,0.252694,0.333827,0,5.04084,25.1943
12,18,0.075,4,0.234827,1,1,1,0.285359,0.336147,0,4.85539,21.2319
12,18,0.1,0,0.0626337,1,1,1,0.0992889,0.136834,0.916667,4.83958,21.0197
12,18,0.1,1,0.0662931,1,1,1,0.0931862,0.14474,1,5.01024,24.4047
12,18,0.1,2,0.0792884,1,1,1,0.0911349,0.154948,0.75,5.1169,27.2751
12,18,0.1,3,0.0694469,1,1,1,0.0669646,0.149938,1,5.04084,25.1943
12,18,0.1,4,0.0773034,1,1,1,0.108314,0.161442,1,4.85539,21.2319
12,18,0.125,0,0.0135197,1,1,1,0.0283425,0.0523442,1,4.83958,21.0197
12,18,0.125,1,0.0143144,1,1,1,0.00416832,0.0600488,1,5.01024,24.4047
12,18,0.125,2,0.0188127,1,1,1,0.000745662,0.0557177,1,5.1169,27.2751
12,18,0.125,3,0.0157262,0.916667,0.916667,1,0.00662276,0.050578,1,5.04084,25.1943
12,18,0.125,4,0.0181633,1,1,1,0.0305943,0.05998,1,4.85539,21.2319
12,18,0.15,0,0.00284199,1,1,1,0.0014916,0.0210701,1,4.83958,21.0197
12,18,0.15,1,0.00245481,0.75,0.916667,0,0.00105838,0.0205124,1,5.01024,24.4047
12,18,0.15,2,0.00319811,0.666667,0.666667,1,0.000205495,0.0267318,1,5.1169,27.2751
12,18,0.15,3,0.00287823,0.75,0.75,1,4.03931e-05,0.0149592,1,5.04084,25.1943
12,18,0.15,4,0.00295143,0.916667,0.916667,1,0.00165153,0.012413,1,4.85539,21.2319
12,18,0.2,0,0.00197719,0.5,0.583333,0,0.00244548,0.0141997,1,4.83958,21.0197
12,18,0.2,1,0.00232462,0.75,0.333333,0,0.000560521,0.0125215,1,5.01024,24.4047
12,18,0.2,2,0.00246145,0.75,0.333333,0,0.00169654,0.0124274,1,5.1169,27.2751
12,18,0.2,3,0.00222727,0.416667,0.666667,0,0.000751355,0.00610908,1,5.04084,25.1943
12,18,0.2,4,0.00187,0.583333,0.25,0,0.000877999,0.00738265,1,4.85539,21.2319
12,18,0.3,0,0.00204648,0.5,0.583333,0,0.00141887,0.0100719,1,4.83958,21.0197
12,18,0.3,1,0.00220612,0.333333,0.583333,0,0.00189955,0.00986608,1,5.01024,24.4047
12,18,0.3,2,0.00212557,0.25,0.416667,0,0.000309434,0.00879304,1,5.1169,27.2751
12,18,0.3,3,0.00201031,0.5,0.333333,0,0.000514545,0.0091553,1,5.04084,25.1943
12,18,0.3,4,0.0029173,0.583333,0.5,0,0.00108615,0.00925321,1,4.85539,21.2319
12,18,0.5,0,0.00190223,0.5,0.416667,0,0.0020329,0.0081864,1,4.83958,21.0197
12,18,0.5,1,0.00235201,0.583333,0.416667,0,0.00056048,0.0075326,1,5.01024,24.4047
12,18,0.5,2,0.00192296,0.5,0.583333,0,0.000213257,0.0111889,1,5.1169,27.2751
12,18,0.5,3,0.00199762,0.75,0.583333,0,0.00130561,0.0206717,1,5.04084,25.1943
12,18,0.5,4,0.00222151,0.583333,0.5,0,0.00100267,0.0119409,1,4.85539,21.2319
12,18,1,0,0.001695,0.416667,0.416667,0,9.07796e-05,0.0092349,1,4.83958,21.0197
12,18,1,1,0.00185144,0.5,0.583333,0,0.000428104,0.0041884,1,5.01024,24.4047
12,18,1,2,0.00225891,0.666667,0.75,0,0.00109212,0.00886938,1,5.1169,27.2751
12,18,1,3,0.00193853,0.666667,0.5,0,0.000921805,0.0095231,1,5.04084,25.1943
12,18,1,4,0.00286156,0.666667,0.5,0,0.00370492,0.013202,1,4.85539,21.2319
16,24,0,0,1,1,1,1,1,1,0,6.87907,84.3169
16,24,0,1,1,1,1,1,1,1,0,7.01685,97.4142
16,24,0,2,1,1,1,1,1,1,0,7.00853,96.4889
16,24,0,3,1,1,1,1,1,1,0,6.94738,90.819
16,24,0,4,1,1,1,1,1,1,0,6.90172,86.4636
16,24,0.02,0,0.81083,1,1,1,0.840734,0.86144,0,6.87907,84.3169
16,24,0.02,1,0.83025,1,1,1,0.861386,0.873794,0,7.01685,97.4142
16,24,0.02,2,0.80707,1,1,1,0.839608,0.863411,0,7.00853,96.4889
16,24,0.02,3,0.818171,1,1,1,0.844958,0.867622,0,6.94738,90.819
16,24,0.02,4,0.822465,1,1,1,0.852086,0.871933,0,6.90172,86.4636
16,24,0.05,0,0.272168,1,1,1,0.339444,0.39822,0,6.87907,84.3169
16,24,0.05,1,0.308533,1,1,1,0.392261,0.432216,0,7.01685,97.4142
16,24,0.05,2,0.261363,1,1,1,0.331865,0.397113,0,7.00853,96.4889
16,24,0.05,3,0.281376,1,1,1,0.342019,0.410073,0,6.94738,90.819
16,24,0.05,4,0.297971,1,1,1,0.371333,0.42789,0,6.90172,86.4636
16,24,0.075,0,0.0553855,1,1,1,0.0852576,0.131985,0.9375,6.87907,84.3169
16,24,0.075,1,0.068798,1,1,1,0.124833,0.155999,0.9375,7.01685,97.4142
16,24,0.075,2,0.048898,1,1,1,0.0838147,0.12352,1,7.00853,96.4889
16,24,0.075,3,0.0560069,1,1,1,0.0836807,0.129877,1,6.94738,90.819
16,24,0.075,4,0.0669955,1,1,1,0.105557,0.148141,1,6.90172,86.4636
16,24,0.1,0,0.00668789,1,1,1,0.00781336,0.0312047,1,6.87907,84.3169
16,24,0.1,1,0.00805105,1,1,1,0.0249518,0.0391792,1,7.01685,97.4142
16,24,0.1,2,0.00483661,1,1,1,0.0127478,0.0273537,1,7.00853,96.4889
16,24,0.1,3,0.00574981,1,1,1,0.00481812,0.0250597,1,6.94738,90.819
16,24,0.1,4,0.00847704,1,1,1,0.0117941,0.0324897,1,6.90172,86.4636
16,24,0.125,0,0.000681019,0.75,0.75,1,0.000977939,0.00829417,1,6.87907,84.3169
16,24,0.125,1,0.000461479,0.9375,0.9375,1,0.000307017,0.00807502,1,7.01685,97.4142
16,24,0.125,2,0.000328069,0.875,0.875,1,0.00110188,0.00709946,1,7.00853,96.4889
16,24,0.125,3,0.000332246,0.75,0.75,1,0.000970631,0.00414957,1,6.94738,90.819
16,24,0.125,4,0.000577734,0.9375,0.9375,1,0.00177028,0.00450035,1,6.90172,86.4636
16,24,0.15,0,0.00018663,0.5,0.625,0,0.000633351,0.00452948,1,6.87907,84.3169
16,24,0.15,1,0.000184436,0.5,0.5,0,6.25411e-05,0.00237814,1,7.01685,97.4142
16,24,0.15,2,0.000204382,0.5,0.6875,0,0.00093819,0.00429324,1,7.00853,96.4889
16,24,0.15,3,0.000168022,0.5625,0.5,0,4.08531e-05,0.00368517,1,6.94738,90.819
16,24,0.15,4,0.00023493,0.625,0.5625,0,0.000276603,0.00341051,1,6.90172,86.4636
16,24,0.2,0,0.000185565,0.5625,0.4375,0,0.000246752,0.00464847,1,6.87907,84.3169
16,24,0.2,1,0.000159445,0.5625,0.5,0,0.000420326,0.00156611,1,7.01685,97.4142
16,24,0.2,2,0.000171098,0.375,0.625,0,0.000169575,0.00325577,1,7.00853,96.4889
16,24,0.2,3,0.000168457,0.375,0.5,0,0.000280458,0.0025586,1,6.94738,90.819
16,24,0.2,4,0.000189923,0.3125,0.5,0,7.6312e-05,0.00245227,1,6.90172,86.4636
16,24,0.3,0,0.000158242,0.5,0.5,0,0.000476686,0.00342566,1,6.87907,84.3169
16,24,0.3,1,0.000172649,0.4375,0.625,0,6.34777e-05,0.00290295,1,7.01685,97.4142
16,24,0.3,2,0.00016163,0.5625,0.25,0,0.000167438,0.00297016,1,7.00853,96.4889
16,24,0.3,3,0.000185943,0.75,0.4375,0,0.000127795,0.00323322,1,6.94738,90.819
16,24,0.3,4,0.000166329,0.75,0.5625,0,1.71211e-06,0.00111252,1,6.90172,86.4636
16,24,0.5,0,0.000184567,0.5,0.5625,0,0.000404405,0.00177946,1,6.87907,84.3169
16,24,0.5,1,0.000165239,0.4375,0.5,0,8.29755e-05,0.003775,1,7.01685,97.4142
16,24,0.5,2,0.000164695,0.4375,0.4375,0,0.000530306,0.00284152,1,7.00853,96.4889
16,24,0.5,3,0.000209951,0.5625,0.6875,0,0.000483537,0.00219594,1,6.94738,90.819
16,24,0.5,4,0.000152138,0.375,0.5,0,0.000245129,0.00324042,1,6.90172,86.4636
16,24,1,0,0.000190633,0.5625,0.3125,0,0.00026579,0.00362844,1,6.87907,84.3169
16,24,1,1,0.000179443,0.8125,0.75,0,0.000448258,0.00245032,1,7.01685,97.4142
16,24,1,2,0.000176936,0.375,0.4375,0,3.16254e-05,0.00250986,1,7.00853,96.4889
16,24,1,3,0.000161628,0.4375,0.25,0,0.00027841,0.00188791,1,6.94738,90.819
16,24,1,4,0.000170131,0.5625,0.375,0,0.000959233,0.00297646,1,6.90172,86.4636
20,30,0,0,1,1,1,1,1,1,0,8.91851,351.781
20,30,0,1,1,1,1,1,1,1,0,8.88744,337.607
20,30,0,2,1,1,1,1,1,1,0,8.95158,360.761
20,30,0,3,1,1,1,1,1,1,0,8.816,314.544
20,30,0,4,1,1,1,1,1,1,0,8.95219,361.769
20,30,0.02,0,0.711112,1,1,1,0.769515,0.789266,0,8.91851,351.781
20,30,0.02,1,0.724372,1,1,1,0.76609,0.794044,0,8.88744,337.607
20,30,0.02,2,0.717497,1,1,1,0.767756,0.792863,0,8.95158,360.761
20,30,0.02,3,0.730082,1,1,1,0.779374,0.804141,0,8.816,314.544
20,30,0.02,4,0.714743,1,1,1,0.774256,0.793204,0,8.95219,361.769
20,30,0.05,0,0.118498,1,1,1,0.196985,0.230891,0.6,8.91851,351.781
20,30,0.05,1,0.132631,1,1,1,0.19029,0.239043,0.65,8.88744,337.607
20,30,0.05,2,0.124269,1,1,1,0.19216,0.238449,0.65,8.95158,360.761
20,30,0.05,3,0.14318,1,1,1,0.212177,0.264355,0.4,8.816,314.544
20,30,0.05,4,0.121656,1,1,1,0.203624,0.240653,0.65,8.95219,361.769
20,30,0.075,0,0.00820857,1,1,1,0.0274487,0.0404862,1,8.91851,351.781
20,30,0.075,1,0.0103182,1,1,1,0.0244349,0.0423254,1,8.88744,337.607
20,30,0.075,2,0.00888433,1,1,1,0.0242942,0.0415604,1,8.95158,360.761
20,30,0.075,3,0.0132871,1,1,1,0.0311526,0.0541481,1,8.816,314.544
20,30,0.075,4,0.00851852,1,1,1,0.0278854,0.0438355,1,8.95219,361.769
20,30,0.1,0,0.000198397,1,1,1,0.00075587,0.00498673,1,8.91851,351.781
20,30,0.1,1,0.000255407,1,1,1,0.000844925,0.0051454,1,8.88744,337.607
20,30,0.1,2,0.000213101,0.95,0.95,1,0.000388315,0.00353151,1,8.95158,360.761
20,30,0.1,3,0.000488048,1,1,1,0.00057753,0.00616999,1,8.816,314.544
20,30,0.1,4,0.000185342,1,1,1,0.0012465,0.00385581,1,8.95219,361.769
20,30,0.125,0,1.3284e-05,0.55,0.7,0,7.66077e-05,0.00134137,1,8.91851,351.781
20,30,0.125,1,1.47161e-05,0.45,0.65,0,5.52315e-05,0.00139054,1,8.88744,337.607
20,30,0.125,2,1.30675e-05,0.3,0.7,0,0.000108348,0.00107273,1,8.95158,360.761
