n,depth,alpha,rule,seeds,max_chi,peak_weight,chi_break_per_seed,chi_break_median,reached
12,18,0,top_chi,5,64,1,4 4 2 4 4,4,5/5
12,18,0,random,5,64,1,64 64 64 64 64,64,5/5
12,18,0.05,top_chi,5,64,0.51453,4 4 4 4 4,4,5/5
12,18,0.05,random,5,64,0.51453,64 64 64 64 64,64,5/5
12,18,0.1,top_chi,5,64,0.0709931,8 16 32 8 4,8,5/5
12,18,0.1,random,5,64,0.0709931,64 64 64 64 64,64,5/5
16,24,0,top_chi,5,256,1,4 8 8 8 8,8,5/5
16,24,0,random,5,256,1,256 256 256 256 256,256,5/5
16,24,0.05,top_chi,5,256,0.284282,8 8 16 16 8,8,5/5
16,24,0.05,random,5,256,0.284282,256 256 256 256 256,256,5/5
16,24,0.1,top_chi,5,256,0.00676048,32 8 64 32 64,32,5/5
16,24,0.1,random,5,256,0.00676048,256 256 256 256 256,256,5/5
20,30,0,top_chi,5,256,1,16 8 16 16 8,16,5/5
20,30,0.05,top_chi,5,256,0.128047,16 8 32 16 32,16,5/5
20,30,0.1,top_chi,5,256,0.000268059,256 256 >256 64 >256,n/a,3/5
