n,alpha,rule,chi,seeds,R,R_std,fraction_R1,min_abs_Z,fidelity,discarded_weight
12,0,top_chi,2,5,0.8,0.145297,0.2,0.0625489,0.0217141,10.4485
12,0,top_chi,4,5,1,0,1,0.192338,0.143393,5.49051
12,0,top_chi,8,5,1,0,1,0.417201,0.36432,2.79618
12,0,top_chi,16,5,1,0,1,0.683813,0.674737,1.1413
12,0,top_chi,32,5,1,0,1,0.931375,0.929865,0.20124
12,0,top_chi,64,5,1,0,1,1,1,0
12,0,random,2,5,0.5,0.117851,0,0.0617481,0.000340489,84.3118
12,0,random,4,5,0.5,0.117851,0,0.0128769,0.000147317,62.162
12,0,random,8,5,0.4,0.062361,0,0.027472,8.31142e-05,40.2445
12,0,random,16,5,0.533333,0.15456,0,0.0101467,0.000196831,22.638
12,0,random,32,5,0.6,0.0333333,0,0.012648,0.000319428,8.07729
12,0,random,64,5,1,0,1,1,1,0
12,0.05,top_chi,2,5,0.8,0.124722,0,0.0269929,0.0141787,10.4926
12,0.05,top_chi,4,5,1,0,1,0.120611,0.0965166,5.5796
12,0.05,top_chi,8,5,1,0,1,0.276988,0.250817,2.95003
12,0.05,top_chi,16,5,1,0,1,0.436416,0.552176,1.27006
12,0.05,top_chi,32,5,1,0,1,0.546715,0.873367,0.252033
12,0.05,top_chi,64,5,1,0,1,0.567108,1,0
12,0.05,random,2,5,0.433333,0.161589,0,0.0464609,0.000194306,84.7315
12,0.05,random,4,5,0.533333,0.113039,0,0.0626996,0.000276958,61.9656
12,0.05,random,8,5,0.516667,0.0971825,0,0.0214389,0.000116228,39.9671
12,0.05,random,16,5,0.583333,0.117851,0,0.0307012,0.000354039,22.353
12,0.05,random,32,5,0.483333,0.0816497,0,0.00640905,0.000210209,8.05256
12,0.05,random,64,5,1,0,1,0.567108,1,0
12,0.1,top_chi,2,5,0.683333,0.152753,0,0.048421,0.0025032,10.9893
12,0.1,top_chi,4,5,0.9,0.062361,0.2,0.0167784,0.0239813,6.00017
12,0.1,top_chi,8,5,0.933333,0.0971825,0.6,0.0517934,0.101292,3.34435
12,0.1,top_chi,16,5,0.983333,0.0333333,0.8,0.0746017,0.31904,1.59644
12,0.1,top_chi,32,5,1,0,1,0.0886904,0.752365,0.365617
12,0.1,top_chi,64,5,1,0,1,0.0917777,1,0
12,0.1,random,2,5,0.5,0.190029,0,0.0371595,0.000308837,84.5882
12,0.1,random,4,5,0.45,0.145297,0,0.0644385,0.000258818,61.8916
12,0.1,random,8,5,0.416667,0.117851,0,0.0233564,0.000166896,40.5157
12,0.1,random,16,5,0.516667,0.122474,0,0.0145141,0.000707586,22.4539
12,0.1,random,32,5,0.533333,0.0408248,0,0.00673364,0.000138795,8.10253
12,0.1,random,64,5,1,0,1,0.0917777,1,0
16,0,top_chi,2,5,0.55,0.144698,0,0.0112818,0.000179036,21.2179
16,0,top_chi,4,5,0.825,0.182859,0.2,0.0321207,0.00713618,12.8938
16,0,top_chi,8,5,1,0,1,0.112367,0.0720314,7.46286
16,0,top_chi,16,5,1,0,1,0.275459,0.209778,4.5575
16,0,top_chi,32,5,1,0,1,0.476409,0.425907,2.59096
16,0,top_chi,64,5,1,0,1,0.727653,0.702996,1.11517
16,0,top_chi,128,5,1,0,1,0.934403,0.931992,0.214192
16,0,top_chi,256,5,1,0,1,1,1,0
16,0,random,2,5,0.4875,0.121192,0,0.0459552,3.01365e-06,153.864
16,0,random,4,5,0.525,0.122474,0,0.0372954,3.26862e-06,128.894
16,0,random,8,5,0.525,0.11592,0,0.0105643,7.21512e-06,99.6765
16,0,random,16,5,0.525,0.170477,0,0.0134461,5.98851e-06,77.6836
16,0,random,32,5,0.6,0.108972,0,0.00848596,3.00153e-05,51.9747
16,0,random,64,5,0.575,0.133463,0,0.00503853,1.7801e-05,32.7709
16,0,random,128,5,0.4875,0.0728869,0,0.00068959,8.31103e-05,10.3078
16,0,random,256,5,1,0,1,1,1,0
16,0.05,top_chi,2,5,0.5,0.172301,0,0.00831388,2.26384e-05,21.4278
16,0.05,top_chi,4,5,0.7375,0.121192,0,0.0255389,0.00164296,12.9797
16,0.05,top_chi,8,5,0.975,0.0306186,0.6,0.0756731,0.0257851,7.82431
16,0.05,top_chi,16,5,1,0,1,0.147175,0.0988288,4.95045
16,0.05,top_chi,32,5,1,0,1,0.24243,0.260275,2.91044
16,0.05,top_chi,64,5,1,0,1,0.324095,0.509975,1.35486
16,0.05,top_chi,128,5,1,0,1,0.35935,0.833214,0.307273
16,0.05,top_chi,256,5,1,0,1,0.355384,1,0
16,0.05,random,2,5,0.45,0.1,0,0.0310544,5.98044e-06,154.159
16,0.05,random,4,5,0.55,0.107529,0,0.0220111,1.51707e-05,128.896
16,0.05,random,8,5,0.5,0.16298,0,0.0115759,3.86443e-05,99.7714
16,0.05,random,16,5,0.5375,0.128695,0,0.0241563,6.07841e-06,77.1211
16,0.05,random,32,5,0.4875,0.114564,0,0.0174162,1.53525e-05,52.7025
16,0.05,random,64,5,0.6125,0.107529,0,0.00472316,4.48157e-06,32.8646
16,0.05,random,128,5,0.5625,0.142522,0,0.00132618,1.66928e-05,10.3327
16,0.05,random,256,5,1,0,1,0.355384,1,0
16,0.1,top_chi,2,5,0.5875,0.0847791,0,0.0333029,1.40146e-05,22.1427
16,0.1,top_chi,4,5,0.6875,0.0790569,0,0.0187158,2.93967e-05,13.7696
16,0.1,top_chi,8,5,0.7375,0.155121,0.2,0.0107617,0.00192527,8.70918
16,0.1,top_chi,16,5,0.9,0.0306186,0,0.0044588,0.0138705,5.77919
16,0.1,top_chi,32,5,0.9625,0.0306186,0.4,0.0100762,0.0649541,3.70563
16,0.1,top_chi,64,5,0.9875,0.025,0.8,0.0100393,0.214377,1.94868
16,0.1,top_chi,128,5,1,0,1,0.0135595,0.643757,0.511039
16,0.1,top_chi,256,5,1,0,1,0.012425,1,0
16,0.1,random,2,5,0.475,0.075,0,0.062921,1.4502e-05,154.047
16,0.1,random,4,5,0.5625,0.189572,0,0.025951,8.94128e-06,129.138
16,0.1,random,8,5,0.4125,0.075,0,0.0218621,1.48565e-05,100.039
16,0.1,random,16,5,0.6,0.10155,0,0.0170628,1.63818e-05,77.0019
16,0.1,random,32,5,0.5625,0.0883883,0,0.0167124,6.74316e-06,52.5319
16,0.1,random,64,5,0.45,0.0728869,0,0.00712842,9.99873e-06,32.8265
16,0.1,random,128,5,0.5875,0.108972,0,0.00150392,1.61835e-05,10.3242
16,0.1,random,256,5,1,0,1,0.012425,1,0
20,0,top_chi,2,5,0.53,0.0678233,0,0.0240258,nan,38.1344
20,0,top_chi,4,5,0.7,0.167332,0,0.00669838,nan,22.9666
20,0,top_chi,8,5,0.93,0.0748331,0.4,0.0362527,nan,14.642
20,0,top_chi,16,5,0.99,0.02,0.8,0.0623918,nan,9.05108
20,0,top_chi,32,5,1,0,1,0.164209,nan,6.08708
20,0,top_chi,64,5,1,0,1,0.312769,nan,4.00171
20,0,top_chi,128,5,1,0,1,0.507218,nan,2.38678
20,0,top_chi,256,5,1,0,1,0.747435,nan,1.05406
20,0.05,top_chi,2,5,0.48,0.0748331,0,0.0202334,nan,38.4366
20,0.05,top_chi,4,5,0.57,0.163095,0,0.0087307,nan,23.522
20,0.05,top_chi,8,5,0.83,0.12083,0.2,0.00955228,nan,15.2565
20,0.05,top_chi,16,5,0.98,0.0244949,0.6,0.0186875,nan,9.64643
20,0.05,top_chi,32,5,1,0,1,0.0597117,nan,6.66521
20,0.05,top_chi,64,5,1,0,1,0.114836,nan,4.56746
20,0.05,top_chi,128,5,1,0,1,0.165698,nan,2.88001
20,0.05,top_chi,256,5,1,0,1,0.211628,nan,1.41969
20,0.1,top_chi,2,5,0.48,0.0509902,0,0.0110609,nan,38.7645
20,0.1,top_chi,4,5,0.46,0.0374166,0,0.00621255,nan,24.5042
20,0.1,top_chi,8,5,0.54,0.115758,0,0.00428224,nan,16.5273
20,0.1,top_chi,16,5,0.67,0.1249,0,0.00199164,nan,10.9034
20,0.1,top_chi,32,5,0.71,0.0969536,0,0.00261419,nan,7.83588
20,0.1,top_chi,64,5,0.88,0.0748331,0.2,0.00206754,nan,5.81165
20,0.1,top_chi,128,5,0.93,0.0509902,0.2,0.00245751,nan,4.03383
20,0.1,top_chi,256,5,0.98,0.0244949,0.6,0.002407,nan,2.28764
