n,depth,alpha,seed,rule,chi,peak_weight,R,min_abs_Z,fidelity,discarded_weight,seconds
12,18,0,0,top_chi,2,1,0.75,0.0293311,0.0104722,10.3508,0.0215061
12,18,0,0,top_chi,4,1,1,0.236969,0.160281,5.2686,0.0219315
12,18,0,0,top_chi,8,1,1,0.538138,0.432493,2.59088,0.0256551
12,18,0,0,top_chi,16,1,1,0.728361,0.734432,0.920672,0.0390949
12,18,0,0,top_chi,32,1,1,0.954847,0.955071,0.139758,0.0779979
12,18,0,0,top_chi,64,1,1,1,1,0,0.110168
12,18,0,0,random,2,1,0.666667,0.0366315,0.00141905,88.6707,0.0264314
12,18,0,0,random,4,1,0.416667,0.00818895,0.00047754,66.1792,0.0294518
12,18,0,0,random,8,1,0.333333,0.0465074,9.16374e-06,39.2288,0.0329286
12,18,0,0,random,16,1,0.75,0.0245345,0.000939339,22.3967,0.0441295
12,18,0,0,random,32,1,0.666667,0.0200397,0.000636859,8.83184,0.0877382
12,18,0,0,random,64,1,1,1,1,0,0.114706
12,18,0,1,top_chi,2,1,0.75,0.0345149,0.00737671,11.0875,0.0356466
12,18,0,1,top_chi,4,1,1,0.189051,0.160631,5.42986,0.0485983
12,18,0,1,top_chi,8,1,1,0.319559,0.295869,2.89098,0.0346092
12,18,0,1,top_chi,16,1,1,0.67222,0.650824,1.23069,0.0453271
12,18,0,1,top_chi,32,1,1,0.92756,0.924034,0.220475,0.0854356
12,18,0,1,top_chi,64,1,1,1,1,0,0.104247
12,18,0,1,random,2,1,0.5,0.0659523,0.000219297,79.4442,0.0238555
12,18,0,1,random,4,1,0.666667,0.00700535,0.000125062,60.3592,0.0276575
12,18,0,1,random,8,1,0.416667,0.0238645,9.13977e-05,46.5193,0.039606
12,18,0,1,random,16,1,0.666667,0.00846012,2.21239e-05,22.7204,0.0477445
12,18,0,1,random,32,1,0.583333,0.00682129,0.000355524,9.22146,0.0853693
12,18,0,1,random,64,1,1,1,1,0,0.106636
12,18,0,2,top_chi,2,1,1,0.0256861,0.0771035,9.77045,0.021983
12,18,0,2,top_chi,4,1,1,0.202366,0.154413,5.55065,0.0251554
12,18,0,2,top_chi,8,1,1,0.267839,0.285812,3.10178,0.0307033
12,18,0,2,top_chi,16,1,1,0.61253,0.610193,1.39045,0.0499427
12,18,0,2,top_chi,32,1,1,0.915593,0.91203,0.258381,0.0765273
12,18,0,2,top_chi,64,1,1,1,1,0,0.110802
12,18,0,2,random,2,1,0.416667,0.0478363,7.3058e-07,77.0124,0.0216088
12,18,0,2,random,4,1,0.583333,0.03356,4.11897e-05,63.3507,0.0275731
12,18,0,2,random,8,1,0.416667,0.0178833,0.000296776,45.4302,0.028898
12,18,0,2,random,16,1,0.333333,0.00834946,1.11125e-05,22.2201,0.0452252
12,18,0,2,random,32,1,0.583333,0.02203,4.00874e-05,7.56335,0.0930685
12,18,0,2,random,64,1,1,1,1,0,0.130322
12,18,0,3,top_chi,2,1,0.583333,0.113595,0.000401101,10.6732,0.0202176
12,18,0,3,top_chi,4,1,1,0.201124,0.108602,5.71388,0.023103
12,18,0,3,top_chi,8,1,1,0.486258,0.394727,2.88444,0.0286135
12,18,0,3,top_chi,16,1,1,0.668115,0.647687,1.22919,0.0405013
12,18,0,3,top_chi,32,1,1,0.912573,0.913605,0.23226,0.0824455
12,18,0,3,top_chi,64,1,1,1,1,0,0.121157
