n,depth,seeds,max_entropy_bits,entropy_bits,entropy_std,percent_of_max,effective_rank,full_rank
12,4,5,6,1.48452,0.227296,24.7419,2.23874,64
12,8,5,6,3.1163,0.15351,51.9383,5.98706,64
12,12,5,6,4.20525,0.209053,70.0875,12.5209,64
12,16,5,6,4.81386,0.0798053,80.231,20.4844,64
12,20,5,6,5.09445,0.0712152,84.9074,26.5738,64
12,24,5,6,5.22633,0.0295763,87.1055,30.2792,64
12,28,5,6,5.26975,0.0179228,87.8292,31.65,64
12,32,5,6,5.27322,0.0157375,87.887,31.8334,64
16,4,5,8,1.6817,0.250842,21.0213,2.63712,256
16,8,5,8,3.19599,0.117935,39.9499,6.29178,256
16,12,5,8,4.4656,0.115152,55.82,13.864,256
16,16,5,8,5.64035,0.0904373,70.5044,30.3261,256
16,20,5,8,6.49221,0.191056,81.1526,60.2109,256
16,24,5,8,6.95071,0.0552477,86.8839,91.1005,256
16,28,5,8,7.13055,0.0393769,89.1319,109.634,256
16,32,5,8,7.21944,0.0191719,90.243,120.211,256
20,4,5,10,1.64838,0.178492,16.4838,2.49179,1024
20,8,5,10,3.0724,0.124232,30.724,5.7436,1024
20,12,5,10,4.61383,0.14545,46.1383,15.0429,1024
20,16,5,10,5.94795,0.0869858,59.4795,34.5351,1024
20,20,5,10,7.12807,0.206064,71.2807,77.8866,1024
20,24,5,10,8.10623,0.119341,81.0623,164.38,1024
20,28,5,10,8.70244,0.045639,87.0244,280.157,1024
20,32,5,10,9.04944,0.0217204,90.4944,401.435,1024
24,4,3,12,1.60074,0.254657,13.3395,2.41757,4096
24,8,3,12,3.00682,0.173343,25.0569,5.56704,4096
24,12,3,12,4.41073,0.15858,36.7561,12.8702,4096
24,16,3,12,5.89925,0.165667,49.1604,32.4239,4096
24,20,3,12,7.13655,0.0706766,59.4713,71.0207,4096
24,24,3,12,8.53278,0.386701,71.1065,189.546,4096
24,28,3,12,9.68047,0.192969,80.6706,442.4,4096
24,32,3,12,10.3799,0.0777771,86.4995,808.427,4096
