n,depth,seed,entropy_bits,effective_rank
12,4,0,1.20546,1.77381
12,8,0,3.00803,5.47561
12,12,0,3.94715,10.3131
12,16,0,4.72727,19.2649
12,20,0,4.98983,23.8885
12,24,0,5.17328,28.6465
12,28,0,5.24008,30.7379
12,32,0,5.25088,31.1167
12,4,1,1.64472,2.60716
12,8,1,3.37186,7.41479
12,12,1,4.27389,13.0162
12,16,1,4.88938,21.7198
12,20,1,5.1298,27.3432
12,24,1,5.24341,30.932
12,28,1,5.26011,31.519
12,32,1,5.25957,31.3927
12,4,2,1.71747,2.49817
12,8,2,3.18221,5.93649
12,12,2,4.55693,16.1526
12,16,2,4.89501,22.0316
12,20,2,5.17288,28.8889
12,24,2,5.25856,31.1961
12,28,2,5.2909,32.1342
12,32,2,5.27719,31.8246
12,4,3,1.64426,2.40506
12,8,3,3.09251,5.77673
12,12,3,4.1961,11.9573
12,16,3,4.8481,20.6648
12,20,3,5.14889,27.8375
12,24,3,5.23873,30.7027
12,28,3,5.28202,31.9867
12,32,3,5.29278,32.3793
12,4,4,1.21067,1.90953
12,8,4,2.92688,5.33168
12,12,4,4.05219,11.1652
12,16,4,4.70952,18.7409
12,20,4,5.03082,24.9106
12,24,4,5.21766,29.9186
12,28,4,5.27567,31.8721
12,32,4,5.28566,32.4536
16,4,0,1.80116,2.96028
16,8,0,3.13878,5.80461
16,12,0,4.44171,13.6188
16,16,0,5.51273,27.5808
16,20,0,6.19533,44.755
16,24,0,6.87907,84.3169
16,28,0,7.13739,110.309
16,32,0,7.22862,121.452
16,4,1,1.30481,2.11742
16,8,1,3.36398,7.24332
16,12,1,4.51939,14.2647
16,16,1,5.62945,29.4776
16,20,1,6.65249,68.7024
16,24,1,7.01685,97.4142
16,28,1,7.18105,115.54
16,32,1,7.241,123.183
16,4,2,1.62203,2.45962
16,8,2,3.30814,6.85241
16,12,2,4.49097,14.1628
16,16,2,5.67504,31.2928
16,20,2,6.69002,71.3731
16,24,2,7.00853,96.4889
16,28,2,7.16345,113.365
16,32,2,7.23459,122.079
16,4,3,2.06878,3.24137
16,8,3,3.06683,5.71294
16,12,3,4.61213,15.4217
16,16,3,5.78686,33.6136
16,20,3,6.57925,64.2382
16,24,3,6.94738,90.819
16,28,3,7.08656,104.349
16,32,3,7.19477,116.921
16,4,4,1.61173,2.40692
16,8,4,3.10224,5.84563
16,12,4,4.2638,11.8521
16,16,4,5.59768,29.6658
16,20,4,6.34396,51.9858
16,24,4,6.90172,86.4636
16,28,4,7.08431,104.606
16,32,4,7.19822,117.421
20,4,0,1.64771,2.52412
20,8,0,3.02745,5.61778
20,12,0,4.32538,12.1583
20,16,0,5.89264,34.4048
20,20,0,6.995,71.3432
20,24,0,8.24409,187.397
20,28,0,8.78456,308.461
20,32,0,9.03074,394.154
20,4,1,1.31163,1.85228
20,8,1,2.88502,5.07628
20,12,1,4.67413,15.6545
20,16,1,5.8714,31.1466
20,20,1,7.08608,73.8881
20,24,1,7.97144,142.763
20,28,1,8.64579,262.651
20,32,1,9.04126,397.113
20,4,2,1.69644,2.58723
20,8,2,3.04237,5.53383
20,12,2,4.65805,15.0872
20,16,2,5.88363,32.5697
20,20,2,7.36598,88.9386
20,24,2,8.25579,184.19
20,28,2,8.68164,273.154
20,32,2,9.07659,412.509
20,4,3,1.82233,2.81857
20,8,3,3.25217,6.32188
20,12,3,4.69978,16.0676
20,16,3,6.09865,38.8498
20,20,3,7.35576,93.7905
20,24,3,8.02665,156.214
20,28,3,8.70321,281.823
20,32,3,9.02476,391.786
20,4,4,1.76381,2.67675
20,8,4,3.15497,6.16822
20,12,4,4.71178,16.2469
20,16,4,5.99341,35.7046
20,20,4,6.83755,61.4724
20,24,4,8.03319,151.335
20,28,4,8.69701,274.697
20,32,4,9.07385,411.613
24,4,0,1.8886,2.95367
24,8,0,3.23026,6.3518
24,12,0,4.424,12.951
24,16,0,5.76492,28.7238
24,20,0,7.05209,66.1807
24,24,0,7.98672,111.218
24,28,0,9.45187,340.364
24,32,0,10.2772,709.47
24,4,1,1.64423,2.26559
24,8,1,2.98243,5.34952
24,12,1,4.59797,14.8932
24,16,1,6.13265,38.8458
24,20,1,7.22507,76.0594
24,24,1,8.83159,232.343
24,28,1,9.92385,543.969
24,32,1,10.4654,882.561
24,4,2,1.26938,2.03346
24,8,2,2.80777,4.99979
24,12,2,4.21021,10.7665
24,16,2,5.80018,29.7022
24,20,2,7.13249,70.8219
24,24,2,8.78005,225.076
24,28,2,9.66569,442.868
24,32,2,10.3972,833.251
